"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "CommuteTime"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "50-59" NA "Very Low" NA
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Freelancer" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Higher Management" "Rather Low" "No"
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Research" "Rather Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "50-59" NA "Rather High" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Business Development" "Very Low" NA
NA "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Business Development" "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Rather High" "No"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Higher Management" "Rather Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Education" "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "IT" "Somewhere In The Middle" "No"
"Home Office" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Home Office" "50-59" "Other" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Design" "Rather Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Female" "Married" "No Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" NA
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Rather Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Rather High" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "IT" "Rather High" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "50-59" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" NA "Very Low" NA
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Higher Management" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "No Health Insurance" "High School" "Not Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "No"
NA NA "Female" "Married" "No Health Insurance" "No Education" "Not Home Office" "40-49" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather High" "No"
"Public Transit" "Employee" "Male" "Separated, Divorced, Widowed" "No Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Very Low" "No"
"Driving" "Entrepreneur" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Business Development" "Somewhere In The Middle" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Business Development" "Rather High" "No"
NA NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather High" "No"
"Home Office" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Home Office" "18-29" "Higher Management" "Somewhere In The Middle" "Yes"
"Walking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" "Higher Management" "Rather High" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Higher Management" "Rather Low" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Business Development" "Very High" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Other" "Very High" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Separated, Divorced, Widowed" "No Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" NA
NA "Employee" "Female" "Separated, Divorced, Widowed" "No Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" NA
"Walking" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Other" "Very High" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" NA "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Public Transit" "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Very Low" NA
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Business Development" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Other" "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Business Development" "Rather Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Education" "Rather Low" "No"
NA "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Business Development" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "IT" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Very Low" "No"
NA NA "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Education" "Rather Low" "No"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Business Development" "Somewhere In The Middle" "No"
"Home Office" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Home Office" "30-39" "Other" "Rather Low" "Yes"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very High" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Freelancer" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Education" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Education" "Somewhere In The Middle" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "40-49" "Education" "Rather Low" "No"
NA "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" NA "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Very High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
"Home Office" "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "60+" "Business Development" "Rather High" "Yes"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Female" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Entrepreneur" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Business Development" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Very High" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Somewhere In The Middle" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Rather Low" "No"
NA NA "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "30-39" NA "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Male" "Not Married" "Health Insurance" "No Education" "Not Home Office" "18-29" NA "Very Low" NA
NA "Other" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" NA
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Higher Management" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
NA NA "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Art" "Rather Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Education" "Very Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Other" "Rather High" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Education" "Very Low" NA
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Higher Management" "Rather Low" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "No Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Home Office" "Employee" "Female" "Not Married" "Health Insurance" "No Education" "Home Office" "30-39" "Other" "Rather Low" "Yes"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Business Development" "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Very High" "No"
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" NA "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" NA "Very Low" NA
"Home Office" "Freelancer" "Female" "Married" "Health Insurance" "High School" "Home Office" "60+" "Education" "Very Low" "Yes"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Business Development" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Art" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Higher Management" "Rather Low" "No"
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Business Development" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Public Transit" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "No"
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "No"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Other" "Rather Low" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
NA NA "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Higher Management" "Very Low" "No"
"Home Office" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Home Office" "18-29" "Other" "Very Low" "Yes"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Very Low" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Very High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "18-29" "Education" "Very Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
